MAE,RMSE,MSE
0.5463895034790038,0.5463895034790038,0.29854148951203235
0.6498601531982438,0.6498601531982438,0.4223182187148448
0.04998527526855412,0.04998527526855412,0.0024985277436731282
0.14145721435546932,0.14145721435546932,0.020010143493209193
0.051329803466796164,0.051329803466796164,0.0026347487239399194
0.10864860534667997,0.10864860534667997,0.011804519443778616
0.12807678222656094,0.12807678222656094,0.016403662145509916
0.2565755462646493,0.2565755462646493,0.06583101094100319
0.05541931152343693,0.05541931152343693,0.0030713000897317493
0.2539022827148436,0.2539022827148436,0.06446636916780837
0.10577110290527081,0.10577110290527081,0.011187526209797388
0.09266159057617074,0.09266159057617074,0.008586170368105894
0.07736457824707088,0.07736457824707088,0.005985277967347153
0.11016006469726491,0.11016006469726491,0.01213523985410559
0.13848297119140796,0.13848297119140796,0.019177533310000324
0.10915115356445426,0.10915115356445426,0.011913974324451076
0.06261955261230412,0.06261955261230412,0.003921208369365123
0.33752712249755845,0.33752712249755845,0.11392455842148183
0.15190513610839673,0.15190513610839673,0.023075170376110538
0.07436019897460966,0.07436019897460966,0.005529439191543539
0.11015846252441364,0.11015846252441364,0.012134886865742643
0.039224472045898295,0.039224472045898295,0.0015385592072794567
0.05519222259521506,0.05519222259521506,0.0030461814349997673
0.0016791534423816756,0.0016791534423816756,2.819556283062231e-06
0.00833786010742088,0.00833786010742088,6.951991117092053e-05
0.034890975952148295,0.034890975952148295,0.0012173802028933906
0.17269439697265554,0.17269439697265554,0.02982335474574914
0.07063438415527301,0.07063438415527301,0.004989216224994683
0.02034355163574375,0.02034355163574375,0.00041386009315617223
0.032149963378905966,0.032149963378905966,0.0010336201452649948
0.005471725463866761,0.005471725463866761,2.9939779551927922e-05
0.09281394958496314,0.09281394958496314,0.008614429237560079
0.24442291259765625,0.24442291259765625,0.059742560202721506
0.05879524230957145,0.05879524230957145,0.0034568805182412206
0.22632205963134844,0.22632205963134844,0.05122167467577564
0.03605636596679673,0.03605636596679673,0.0013000615267315778
0.029239807128906392,0.029239807128906392,0.0008549663209356451
0.008119964599607954,0.008119964599607954,6.593382509888636e-05
0.15285583496093835,0.15285583496093835,0.023364906281605622
0.06692153930664091,0.06692153930664091,0.004478492423170284
0.3005947875976567,0.3005947875976567,0.09035722633088034
0.35341033935547017,0.35341033935547017,0.12489886796334859
0.15611640930175952,0.15611640930175952,0.024372333253274505
0.07794425964355511,0.07794425964355511,0.006075307611381934
0.09624443054199361,0.09624443054199361,0.009262990410352633
0.00531875610351662,0.00531875610351662,2.8289166488695297e-05
0.08501876831054744,0.08501876831054744,0.0072281909650425465
0.2625839996337884,0.2625839996337884,0.0689503568636774
0.013852462768554119,0.013852462768554119,0.00019189072475417804
0.04566810607910199,0.04566810607910199,0.002085575912852112
