Actual_train,Predicted_train
17.5,17.282309
16.8,16.527296
10.26,9.963439
9.88,9.739695
7.049999999999999,6.9312115
16.5,16.350367
14.109999999999998,14.616183
12.480000000000002,12.676033
8.28,8.356643
15.510000000000002,15.584205
20.92,20.981636
12.2,11.772132
16.61,16.608953
13.02,13.211448
19.07,19.158735
19.84,19.833746
18.02,17.986313
19.25,19.354204
22.47,22.507591
11.32,11.298394
19.48,19.45739
17.97,18.05239
21.8,21.797579
22.83,22.82734
11.71,11.569873
10.7,10.921583
20.23,20.26096
22.56,21.930065
19.57,19.680851
7.629999999999999,7.6026187
19.53,19.557941
21.84,21.812551
21.22,21.129581
19.13,19.184301
20.7,20.76107
20.74,20.22532
10.83,11.237198
9.08,8.91894
8.71,8.557862
9.89,9.383814
18.88,18.872154
15.14,14.930718
7.910000000000001,7.608571
18.5,18.607235
14.14,14.217945
21.69,21.673115
21.88,21.725147
11.35,10.660294
21.46,21.51323
12.809999999999999,12.596087
23.73,23.604694
10.0,10.075536
21.37,21.356312
11.68,11.726227
21.92,21.904686
23.45,23.399305
18.5,18.773727
20.55,20.728321
19.4,19.45279
7.760000000000001,7.3360386
14.880000000000003,14.659321
21.49,21.465233
14.79,14.616286
12.799999999999999,12.725715
12.78,12.80497
12.92,12.836969
21.59,21.512728
15.7,15.58749
22.46,22.39946
25.029999999999998,24.817513
15.44,15.507828
9.8,9.953317
20.01,20.032133
20.42,20.426567
15.589999999999998,15.245971
20.57,20.617983
9.93,10.043624
10.97,11.093854
23.02,22.998957
18.03,18.223278
12.0,11.7477665
19.32,19.491718
25.45,25.46207
22.45,22.49606
21.62,21.712332
7.57,8.2221155
22.26,22.162699
10.01,10.224683
11.24,11.185008
17.01,17.18157
18.69,18.556305
20.81,20.51242
20.98,20.982363
22.25,22.258987
22.06,22.039572
15.63,15.882515
23.42,23.393875
15.14,15.093843
12.06,11.259313
11.66,11.759285
20.48,20.745262
16.06,16.147854
19.73,19.29964
11.72,11.351731
20.74,20.83845
16.82,16.458431
14.18,13.80244
13.81,13.976735
19.17,19.33228
17.1,17.162771
15.33,15.219225
9.05,8.706684
19.86,19.822372
22.66,22.826843
11.06,11.099542
20.06,20.047493
9.0,9.237781
9.74,9.312632
23.06,22.85953
14.689999999999998,14.802
19.55,19.548338
17.48,17.38039
7.779999999999999,7.4587255
21.83,21.668247
21.74,21.718748
15.589999999999998,15.429252
7.53,7.498315
17.7,17.879189
7.19,7.297582
16.22,16.001328
11.22,11.122891
20.92,21.080448
17.79,17.934288
20.89,20.855427
21.37,20.982853
20.42,20.391882
23.03,23.016146
10.69,10.398837
20.61,20.650984
10.47,10.404074
8.87,8.642481
6.22,6.4541397
11.07,10.660064
6.92,7.0322556
16.28,15.995688
21.03,21.051813
12.15,11.617485
19.07,19.031908
20.52,20.423218
17.41,17.615923
20.98,20.966742
19.48,19.193054
24.85,24.767935
19.51,19.230997
18.96,18.844252
15.860000000000001,15.763697
18.52,18.572384
24.960000000000004,24.729849
12.15,12.04887
21.65,21.77899
22.78,21.847786
11.0,10.948931
19.83,20.201315
19.71,19.730408
16.15,16.160923
10.49,10.452979
16.41,16.321507
20.0,19.995342
12.98,12.658689
8.75,8.7899475
23.53,23.570993
21.52,21.584274
6.110000000000001,6.4875684
11.17,11.126093
18.03,18.073238
19.2,19.21134
11.04,10.730874
18.12,18.193274
6.589999999999999,6.217738
20.46,20.378777
20.42,20.193306
15.71,15.387238
13.12,13.363034
12.77,12.954526
24.37,24.31191
20.18,20.385721
13.28,13.468542
17.77,17.787766
14.370000000000001,15.114228
9.55,9.448127
12.42,12.569582
21.28,21.119804
18.87,18.799927
20.3,20.36346
22.27,22.113308
12.15,11.77957
20.95,20.987238
21.91,21.833649
10.46,10.41573
19.88,19.710808
18.18,18.31359
20.98,21.130692
22.23,22.223265
18.09,18.034727
20.29,20.318987
21.17,21.14784
10.56,10.685134
19.63,19.622377
10.53,10.558029
20.73,20.640394
13.94,13.81677
24.34,24.154757
7.5,7.513843
23.29,22.949318
20.88,20.851212
22.3,21.894896
10.52,10.731614
9.88,9.614221
20.4,20.419792
15.500000000000002,15.338934
20.77,20.707321
17.31,16.863285
20.39,19.959045
19.64,19.753632
15.589999999999998,15.994711
20.68,20.734167
19.47,19.479382
